act,nodes,edges,density,avg_degree
1,7,14,0.6666666666666666,4.0
2,10,24,0.5333333333333333,4.8
3,10,23,0.5111111111111111,4.6
4,17,70,0.5147058823529411,8.235294117647058
5,26,173,0.5323076923076923,13.307692307692308
